Crates ordered by Layer (0-N) with Usage Counts:
  adler2: Layer 0, Usage Count: 0
  allocator-api2: Layer 0, Usage Count: 2
  anstyle: Layer 0, Usage Count: 4
  arc-swap: Layer 0, Usage Count: 0
  arraydeque: Layer 0, Usage Count: 0
  arrayref: Layer 0, Usage Count: 0
  arrayvec: Layer 0, Usage Count: 0
  autocfg: Layer 0, Usage Count: 0
  base16ct: Layer 0, Usage Count: 2
  base64: Layer 0, Usage Count: 3
  base64ct: Layer 0, Usage Count: 1
  bumpalo: Layer 0, Usage Count: 0
  byteorder: Layer 0, Usage Count: 0
  bytes: Layer 0, Usage Count: 0
  bytesize: Layer 0, Usage Count: 1
  cfg-if: Layer 0, Usage Count: 0
  cfg_aliases: Layer 0, Usage Count: 0
  clap_lex: Layer 0, Usage Count: 1
  clru: Layer 0, Usage Count: 0
  colorchoice: Layer 0, Usage Count: 1
  colorify: Layer 0, Usage Count: 0
  const-oid: Layer 0, Usage Count: 2
  constant_time_eq: Layer 0, Usage Count: 1
  core-foundation-sys: Layer 0, Usage Count: 0
  crossbeam-utils: Layer 0, Usage Count: 4
  crunchy: Layer 0, Usage Count: 0
  ct-codecs: Layer 0, Usage Count: 0
  dunce: Layer 0, Usage Count: 0
  either: Layer 0, Usage Count: 0
  equivalent: Layer 0, Usage Count: 0
  fallible-iterator: Layer 0, Usage Count: 0
  fallible-streaming-iterator: Layer 0, Usage Count: 0
  fastrand: Layer 0, Usage Count: 0
  fiat-crypto: Layer 0, Usage Count: 1
  find-msvc-tools: Layer 0, Usage Count: 0
  fnv: Layer 0, Usage Count: 0
  foldhash: Layer 0, Usage Count: 1
  gimli: Layer 0, Usage Count: 0
  gix-trace: Layer 0, Usage Count: 12
  glob: Layer 0, Usage Count: 0
  heck: Layer 0, Usage Count: 0
  hex: Layer 0, Usage Count: 0
  humantime: Layer 0, Usage Count: 1
  icu_normalizer_data: Layer 0, Usage Count: 1
  icu_properties_data: Layer 0, Usage Count: 1
  is_terminal_polyfill: Layer 0, Usage Count: 0
  itoa: Layer 0, Usage Count: 0
  jiff-tzdb: Layer 0, Usage Count: 0
  lazy_static: Layer 0, Usage Count: 2
  lazycell: Layer 0, Usage Count: 0
  libc: Layer 0, Usage Count: 32
  linux-raw-sys: Layer 0, Usage Count: 2
  litemap: Layer 0, Usage Count: 1
  log: Layer 0, Usage Count: 0
  md5: Layer 0, Usage Count: 0
  memchr: Layer 0, Usage Count: 0
  minimal-lexical: Layer 0, Usage Count: 0
  num-conv: Layer 0, Usage Count: 4
  objc2-encode: Layer 0, Usage Count: 0
  once_cell: Layer 0, Usage Count: 0
  openssl-probe: Layer 0, Usage Count: 0
  pathdiff: Layer 0, Usage Count: 0
  percent-encoding: Layer 0, Usage Count: 4
  pin-project-lite: Layer 0, Usage Count: 0
  pkg-config: Layer 0, Usage Count: 0
  portable-atomic: Layer 0, Usage Count: 0
  powerfmt: Layer 0, Usage Count: 3
  r-efi: Layer 0, Usage Count: 0
  regex-syntax: Layer 0, Usage Count: 2
  rustc-demangle: Layer 0, Usage Count: 0
  rustc-hash: Layer 0, Usage Count: 0
  rustc-stable-hash: Layer 0, Usage Count: 0
  rustversion: Layer 0, Usage Count: 0
  ryu: Layer 0, Usage Count: 0
  scopeguard: Layer 0, Usage Count: 0
  sha1_smol: Layer 0, Usage Count: 1
  shell-escape: Layer 0, Usage Count: 0
  shell-words: Layer 0, Usage Count: 0
  shlex: Layer 0, Usage Count: 0
  simd-adler32: Layer 0, Usage Count: 0
  smallvec: Layer 0, Usage Count: 17
  stable_deref_trait: Layer 0, Usage Count: 0
  static_assertions: Layer 0, Usage Count: 1
  strsim: Layer 0, Usage Count: 0
  subtle: Layer 0, Usage Count: 0
  supports-hyperlinks: Layer 0, Usage Count: 0
  supports-unicode: Layer 0, Usage Count: 0
  time-core: Layer 0, Usage Count: 4
  tinyvec_macros: Layer 0, Usage Count: 0
  toml_write: Layer 0, Usage Count: 1
  toml_writer: Layer 0, Usage Count: 1
  typeid: Layer 0, Usage Count: 0
  typenum: Layer 0, Usage Count: 0
  ucd-trie: Layer 0, Usage Count: 1
  unicase: Layer 0, Usage Count: 0
  unicode-bom: Layer 0, Usage Count: 3
  unicode-ident: Layer 0, Usage Count: 0
